ID,date_of_donation,donor_link,donation_huf,donor_gender,publishing_name,donation_type
34,2020. szeptember 09. 12:51,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,NA,anonymous,none_of_them
35,2020. szeptember 09. 12:39,https://elmenykulonitmeny.hu/jotekony-sportolo/megyeri-regina/,NA,NA,anonymous,none_of_them
36,2020. november 14. 13:45,https://elmenykulonitmeny.hu/jotekony-sportolo/ivancza-tibor/,NA,female,gave_name,only_name
37,2020. október 06. 11:44,https://elmenykulonitmeny.hu/jotekony-sportolo/ivancza-tibor/,NA,NA,anonymous,none_of_them
38,2020. október 06. 10:27,https://elmenykulonitmeny.hu/jotekony-sportolo/ivancza-tibor/,NA,female,gave_name,only_name
39,2020. október 05. 20:08,https://elmenykulonitmeny.hu/jotekony-sportolo/ivancza-tibor/,NA,NA,anonymous,none_of_them
40,2020. október 05. 14:30,https://elmenykulonitmeny.hu/jotekony-sportolo/ivancza-tibor/,NA,NA,anonymous,none_of_them
41,2020. szeptember 22. 19:56,https://elmenykulonitmeny.hu/jotekony-sportolo/ivancza-tibor/,NA,male,gave_name,only_name
42,2020. szeptember 17. 14:47,https://elmenykulonitmeny.hu/jotekony-sportolo/ivancza-tibor/,NA,male,gave_name,only_name
43,2020. szeptember 05. 10:30,https://elmenykulonitmeny.hu/jotekony-sportolo/ivancza-tibor/,5000,female,gave_name,both_of_them
44,2020. szeptember 04. 12:11,https://elmenykulonitmeny.hu/jotekony-sportolo/ivancza-tibor/,5000,male,gave_name,both_of_them
45,2020. szeptember 04. 06:00,https://elmenykulonitmeny.hu/jotekony-sportolo/ivancza-tibor/,NA,female,gave_name,only_name
46,2020. október 15. 08:41,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,NA,anonymous,none_of_them
47,2020. október 10. 22:34,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,5000,male,gave_name,both_of_them
48,2020. október 10. 16:49,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,7000,female,gave_name,both_of_them
49,2020. október 09. 13:52,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,NA,anonymous,none_of_them
50,2020. október 07. 06:24,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,8000,male,gave_name,both_of_them
51,2020. október 05. 21:43,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,4000,female,gave_name,both_of_them
52,2020. szeptember 27. 11:21,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,10000,male,gave_name,both_of_them
53,2020. szeptember 25. 12:02,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,2000,female,gave_name,both_of_them
54,2020. szeptember 23. 08:26,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,female,gave_name,only_name
55,2020. szeptember 23. 06:33,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,female,gave_name,only_name
56,2020. szeptember 20. 00:27,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,female,gave_name,only_name
57,2020. szeptember 19. 19:31,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,6000,female,gave_name,both_of_them
58,2020. szeptember 18. 14:48,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,5000,female,gave_name,both_of_them
59,2020. szeptember 18. 14:02,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,5000,female,gave_name,both_of_them
60,2020. szeptember 18. 13:06,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,NA,anonymous,none_of_them
61,2020. szeptember 18. 12:54,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,6000,female,gave_name,both_of_them
62,2020. szeptember 18. 12:44,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,NA,anonymous,none_of_them
63,2020. szeptember 18. 12:12,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,female,gave_name,only_name
64,2020. szeptember 14. 10:41,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,10000,female,gave_name,both_of_them
65,2020. szeptember 13. 09:52,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,male,gave_name,only_name
66,2020. szeptember 11. 12:41,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,20000,male,gave_name,both_of_them
67,2020. szeptember 10. 10:42,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,2000,female,gave_name,both_of_them
68,2020. szeptember 10. 08:27,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,male,gave_name,only_name
69,2020. szeptember 09. 17:28,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,female,gave_name,only_name
70,2020. szeptember 09. 15:48,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,female,gave_name,only_name
71,2020. szeptember 09. 13:05,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,2000,female,gave_name,both_of_them
72,2020. szeptember 05. 15:44,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,NA,NA,anonymous,none_of_them
73,2020. szeptember 04. 16:26,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,3000,group,gave_name,both_of_them
74,2020. szeptember 03. 10:26,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,10000,female,gave_name,both_of_them
75,2020. szeptember 02. 13:40,https://elmenykulonitmeny.hu/jotekony-sportolo/marsa-norbert/,10000,NA,anonymous,only_money
76,2020. október 29. 22:54,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,female,gave_name,only_name
77,2020. október 14. 21:58,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
78,2020. október 11. 07:35,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,2000,NA,anonymous,only_money
79,2020. október 09. 14:30,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,female,gave_name,only_name
80,2020. október 09. 10:24,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,male,gave_name,only_name
81,2020. október 09. 09:58,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
82,2020. október 09. 09:23,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
83,2020. október 09. 09:23,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,10000,male,gave_name,both_of_them
84,2020. október 08. 10:53,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,6000,male,gave_name,both_of_them
85,2020. október 07. 13:40,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,6000,female,gave_name,both_of_them
86,2020. október 07. 11:40,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,2000,NA,anonymous,only_money
87,2020. október 06. 08:39,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
88,2020. október 05. 10:11,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
89,2020. október 03. 08:23,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
90,2020. október 02. 08:36,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,male,gave_name,only_name
91,2020. szeptember 29. 20:38,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
92,2020. szeptember 25. 14:05,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
93,2020. szeptember 25. 11:43,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,2000,male,gave_name,both_of_them
94,2020. szeptember 20. 18:50,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
95,2020. szeptember 18. 07:00,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
96,2020. szeptember 17. 22:24,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
97,2020. szeptember 17. 14:08,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,male,gave_name,only_name
98,2020. szeptember 17. 06:36,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,1000,NA,anonymous,only_money
99,2020. szeptember 15. 21:49,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
100,2020. szeptember 15. 18:45,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,2000,male,gave_name,both_of_them
101,2020. szeptember 12. 23:21,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,10000,male,gave_name,both_of_them
102,2020. szeptember 09. 21:45,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,6000,NA,anonymous,only_money
103,2020. szeptember 09. 08:56,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,1000,NA,anonymous,only_money
104,2020. szeptember 03. 10:28,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,NA,NA,anonymous,none_of_them
105,2020. szeptember 01. 23:32,https://elmenykulonitmeny.hu/jotekony-sportolo/hamar-andras/,5000,male,gave_name,both_of_them
106,2020. október 03. 11:27,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,NA,anonymous,none_of_them
107,2020. szeptember 15. 07:41,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,10000,male,gave_name,both_of_them
108,2020. szeptember 08. 10:56,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,10000,male,gave_name,both_of_them
109,2020. szeptember 06. 20:38,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,NA,anonymous,none_of_them
110,2020. szeptember 04. 17:39,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,NA,anonymous,none_of_them
111,2020. szeptember 03. 16:28,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,male,gave_name,only_name
112,2020. szeptember 03. 14:23,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,3100,female,gave_name,both_of_them
113,2020. szeptember 02. 12:13,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,3000,NA,anonymous,only_money
114,2020. szeptember 01. 20:23,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,6000,male,gave_name,both_of_them
115,2020. szeptember 01. 11:07,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,female,gave_name,only_name
116,2020. szeptember 01. 09:40,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,NA,gave_name,only_name
117,2020. augusztus 31. 19:26,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,5000,male,gave_name,both_of_them
118,2020. augusztus 27. 10:58,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,female,gave_name,only_name
119,2020. augusztus 25. 21:04,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,NA,anonymous,none_of_them
120,2020. augusztus 25. 20:27,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,2000,NA,gave_name,both_of_them
121,2020. augusztus 24. 14:33,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,NA,anonymous,none_of_them
122,2020. augusztus 24. 13:47,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,5000,male,gave_name,both_of_them
123,2020. augusztus 12. 15:42,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,5000,female,gave_name,both_of_them
124,2020. augusztus 11. 21:28,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,2000,male,gave_name,both_of_them
125,2020. augusztus 10. 21:36,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,10000,male,gave_name,both_of_them
126,2020. augusztus 10. 21:25,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,2000,female,gave_name,both_of_them
127,2020. augusztus 10. 20:04,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,10000,male,gave_name,both_of_them
128,2020. augusztus 10. 19:14,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,female,gave_name,only_name
129,2020. augusztus 10. 19:10,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,female,gave_name,only_name
130,2020. augusztus 10. 18:36,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,4000,male,gave_name,both_of_them
131,2020. augusztus 10. 18:10,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,female,gave_name,only_name
132,2020. augusztus 10. 16:11,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,female,gave_name,only_name
133,2020. augusztus 10. 16:08,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,female,gave_name,only_name
134,2020. augusztus 10. 15:28,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,NA,anonymous,none_of_them
135,2020. augusztus 10. 15:07,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,6000,male,gave_name,both_of_them
136,2020. augusztus 10. 14:27,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,2000,male,gave_name,both_of_them
137,2020. augusztus 10. 14:25,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,NA,anonymous,none_of_them
138,2020. augusztus 10. 14:13,https://elmenykulonitmeny.hu/jotekony-sportolo/verebelyi-tibor/,NA,female,gave_name,only_name
139,2020. szeptember 18. 11:56,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
140,2020. augusztus 30. 13:24,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
141,2020. augusztus 30. 10:58,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,10000,female,gave_name,both_of_them
142,2020. augusztus 27. 12:42,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,4000,female,gave_name,both_of_them
143,2020. augusztus 25. 23:08,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,10000,male,gave_name,both_of_them
144,2020. augusztus 23. 12:10,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
145,2020. augusztus 22. 10:40,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,15000,female,gave_name,both_of_them
146,2020. augusztus 16. 10:58,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,5000,female,gave_name,both_of_them
147,2020. augusztus 11. 09:33,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
148,2020. augusztus 10. 21:28,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,2000,male,gave_name,both_of_them
149,2020. augusztus 09. 21:16,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
150,2020. augusztus 09. 21:13,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
151,2020. augusztus 07. 13:34,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
152,2020. augusztus 07. 12:04,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
153,2020. augusztus 06. 18:25,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
154,2020. augusztus 06. 16:48,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,male,gave_name,only_name
155,2020. augusztus 05. 14:23,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
156,2020. augusztus 03. 09:13,https://elmenykulonitmeny.hu/jotekony-sportolo/lustyik-rebeka/,NA,NA,anonymous,none_of_them
157,2020. október 07. 16:47,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,2000,male,gave_name,both_of_them
158,2020. október 05. 14:41,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,1500,male,gave_name,both_of_them
159,2020. október 03. 11:27,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,10000,male,gave_name,both_of_them
160,2020. szeptember 15. 21:16,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,10000,female,gave_name,both_of_them
161,2020. augusztus 25. 10:58,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,5000,female,gave_name,both_of_them
162,2020. augusztus 12. 10:53,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,5000,male,gave_name,both_of_them
163,2020. augusztus 10. 08:32,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,5000,female,gave_name,both_of_them
164,2020. augusztus 08. 05:10,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,6000,female,gave_name,both_of_them
165,2020. augusztus 06. 17:23,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,2000,female,gave_name,both_of_them
166,2020. augusztus 06. 17:23,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,NA,male,gave_name,only_name
167,2020. augusztus 06. 07:52,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,NA,female,gave_name,only_name
168,2020. augusztus 05. 21:28,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,NA,NA,anonymous,none_of_them
169,2020. augusztus 05. 18:58,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,5000,male,gave_name,both_of_them
170,2020. augusztus 05. 10:31,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,NA,female,gave_name,only_name
171,2020. augusztus 05. 08:15,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,5000,NA,gave_name,both_of_them
172,2020. augusztus 04. 23:50,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,NA,male,gave_name,only_name
173,2020. augusztus 04. 21:12,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,5000,female,gave_name,both_of_them
174,2020. augusztus 04. 16:33,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,NA,female,gave_name,only_name
175,2020. augusztus 04. 16:06,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,NA,male,gave_name,only_name
176,2020. augusztus 04. 15:49,https://elmenykulonitmeny.hu/jotekony-sportolo/darabos-miklos/,1500,NA,anonymous,only_money
177,2020. július 29. 16:33,https://elmenykulonitmeny.hu/jotekony-sportolo/racz-petra-katalin/,NA,NA,anonymous,none_of_them
178,2020. október 05. 18:35,https://elmenykulonitmeny.hu/jotekony-sportolo/kovacs-agnes-eva/,NA,NA,anonymous,none_of_them
179,2020. október 09. 19:57,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,NA,anonymous,none_of_them
180,2020. október 07. 13:20,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,NA,anonymous,none_of_them
181,2020. október 07. 10:40,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,female,gave_name,only_name
182,2020. október 06. 00:02,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,NA,anonymous,none_of_them
183,2020. október 05. 18:12,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,5000,female,gave_name,both_of_them
184,2020. október 05. 14:56,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,5000,female,gave_name,both_of_them
185,2020. október 03. 11:50,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,NA,gave_name,only_name
186,2020. szeptember 19. 14:11,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,female,gave_name,only_name
187,2020. szeptember 08. 20:14,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,NA,anonymous,none_of_them
188,2020. szeptember 08. 16:28,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,male,gave_name,only_name
189,2020. szeptember 05. 12:36,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,NA,anonymous,none_of_them
190,2020. szeptember 05. 12:32,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,female,gave_name,only_name
191,2020. szeptember 05. 11:16,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,female,gave_name,only_name
192,2020. szeptember 05. 11:05,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,NA,anonymous,none_of_them
193,2020. szeptember 05. 11:04,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,4000,female,gave_name,both_of_them
194,2020. szeptember 05. 10:32,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,NA,anonymous,none_of_them
195,2020. szeptember 05. 08:58,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,female,gave_name,only_name
196,2020. szeptember 03. 16:23,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,2000,female,gave_name,both_of_them
197,2020. szeptember 02. 20:55,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,3000,male,gave_name,both_of_them
198,2020. augusztus 31. 12:02,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,2000,female,gave_name,both_of_them
199,2020. augusztus 25. 21:05,https://elmenykulonitmeny.hu/jotekony-sportolo/csihonne-dr-solyom-dora/,NA,female,gave_name,only_name
